date,temperature
2023/1/1,0.3
2023/1/2,-3.7
2023/1/3,-3.4
2023/1/4,-3
2023/1/5,-1
2023/1/6,0.2
2023/1/7,-0.3
2023/1/8,-1.2
2023/1/9,1.2
2023/1/10,-1.5
2023/1/11,0
2023/1/12,5
2023/1/13,7
2023/1/14,5
2023/1/15,0.5
2023/1/16,-1.5
2023/1/17,-2
2023/1/18,-1.5
2023/1/19,-2
2023/1/20,-2
2023/1/21,-3
2023/1/22,-2.5
2023/1/23,
2023/1/24,
2023/1/25,
2023/1/26,
2023/1/27,
2023/1/28,
2023/1/29,
2023/1/30,
2023/1/31,
2023/2/1,
2023/2/2,
2023/2/3,
2023/2/4,
2023/2/5,
2023/2/6,
2023/2/7,
2023/2/8,
2023/2/9,
2023/2/10,
2023/2/11,
2023/2/12,
2023/2/13,
2023/2/14,
2023/2/15,
2023/2/16,
2023/2/17,
2023/2/18,
2023/2/19,
2023/2/20,
2023/2/21,
2023/2/22,
2023/2/23,
2023/2/24,
2023/2/25,
2023/2/26,
2023/2/27,
2023/2/28,
2023/3/1,
2023/3/2,
2023/3/3,
2023/3/4,
2023/3/5,
2023/3/6,
2023/3/7,
2023/3/8,
2023/3/9,
2023/3/10,
2023/3/11,
2023/3/12,
2023/3/13,
2023/3/14,
2023/3/15,
2023/3/16,
2023/3/17,
2023/3/18,
2023/3/19,
2023/3/20,
2023/3/21,
2023/3/22,
2023/3/23,
2023/3/24,
2023/3/25,
2023/3/26,
2023/3/27,
2023/3/28,
2023/3/29,
2023/3/30,
2023/3/31,
2023/4/1,
2023/4/2,
2023/4/3,
2023/4/4,
2023/4/5,
2023/4/6,
2023/4/7,
2023/4/8,
2023/4/9,
2023/4/10,
2023/4/11,
2023/4/12,
2023/4/13,
2023/4/14,
2023/4/15,
2023/4/16,
2023/4/17,
2023/4/18,
2023/4/19,
2023/4/20,
2023/4/21,
2023/4/22,
2023/4/23,
2023/4/24,
2023/4/25,
2023/4/26,
2023/4/27,
2023/4/28,
2023/4/29,
2023/4/30,
2023/5/1,
2023/5/2,
2023/5/3,
2023/5/4,
2023/5/5,
2023/5/6,
2023/5/7,
2023/5/8,
2023/5/9,
2023/5/10,
2023/5/11,
2023/5/12,
2023/5/13,
2023/5/14,
2023/5/15,
2023/5/16,
2023/5/17,
2023/5/18,
2023/5/19,
2023/5/20,
2023/5/21,
2023/5/22,
2023/5/23,
2023/5/24,
2023/5/25,
2023/5/26,
2023/5/27,
2023/5/28,
2023/5/29,
2023/5/30,
2023/5/31,
